course_name,url,Duration,rating
,https://www.coursera.org/browse/data-science,,No rating
Analyzing Billing Data with BigQuery,https://www.coursera.org/projects/googlecloud-analyzing-billing-data-with-bigquery-1hx75,,No rating
Analyzing Digital Transformation Canvas for Competitiveness ,https://www.coursera.org/projects/analyzing-digital-transformation-canvas-for-competitiveness,,No rating
Analyzing Macro-Environmental Factors Using Creately,https://www.coursera.org/projects/marco-environmental-factors-creately,,4.6
Analyzing Market Attractiveness Using Creately,https://www.coursera.org/projects/analyzing-market-attractiveness-creately,,4.6
Analyzing Product Opportunities with Creately,https://www.coursera.org/projects/product-strategy,,4.7
Android Mobile Lifecycle and Software Development Approaches,https://www.coursera.org/learn/android-mobile-lifecycle-and-software-development-approaches,,No rating
Anuncie su evento para recaudar fondos con Canva,https://www.coursera.org/projects/anuncie-evento-recaudar-fondos-canva,,No rating
Anuncie y crezca su negocio en Facebook con Canva,https://www.coursera.org/projects/anuncie-crezca-negocio-facebook-canva,,No rating
Análisis Exploratorio de Datos con Python,https://www.coursera.org/projects/analisis-exploratorio-de-datos-con-python,,No rating
Análisis de texto en archivos con Azure cognitive search,https://www.coursera.org/projects/analisis-textos-archivos-servicios-cognitivos-azure,,4.8
Análisis de documentos con servicios cognitivos de Azure,https://www.coursera.org/projects/analisis-documentos-servicios-cognitivos-azure,,4.8
Análisis exploratorio de datos con Python y Pandas,https://www.coursera.org/projects/analisis-exploratorio-de-datos-con-python-y-pandas,,4.3
App Dev: Deploying the Application into Kubernetes Engine - Python,https://www.coursera.org/projects/googlecloud-app-dev-deploying-the-application-into-kubernetes-engine-pytho-emnhx,,No rating
App Dev: Adding User Authentication to your Application - Python,https://www.coursera.org/projects/googlecloud-app-dev-adding-user-authentication-to-your-application-python-jh1dy,,No rating
App Engine: Qwik Start - Python,https://www.coursera.org/projects/googlecloud-app-engine-qwik-start-python-gtsbd,,No rating
App Engine: Qwik Start - Java,https://www.coursera.org/projects/googlecloud-app-engine-qwik-start-java-jp6zm,,No rating
Apprendre à tirer parti des idées de tweet sur Twitter,https://www.coursera.org/projects/apprendre-a-tirer-parti-des-idees-de-tweet-sur-twitter,,No rating
Aprenda cómo buscar trabajo con Indeed,https://www.coursera.org/projects/aprenda-como-buscar-trabajo-indeed,,No rating
Aprende y diseña una presentacion atractiva con PowerPoint,https://www.coursera.org/projects/aprende-disena-presentacion-atractiva-powerpoint,,4.4
Aprendiendo Python con circuitos digitales,https://www.coursera.org/projects/aprendiendo-python-con-circuitos-digitales,,4.8
"Aprendiendo Python con textos, números y ecuaciones",https://www.coursera.org/projects/aprendiendo-python-con-textos-numeros-ecuaciones,,4.8
Aumente su productividad y su rendimiento con Canva,https://www.coursera.org/projects/aumente-productividad-rendimiento-canva,,4.3
Avoir plus d’abonnés sur Twitter en publiant un vidéo tweet,https://www.coursera.org/projects/avoir-plus-d-abonnes-sur-twitter-en-publiant-des-videos-tweets,,No rating
Bases de Datos SQL en Azure,https://www.coursera.org/projects/bases-datos-sql-azure,,No rating
Bases y primeros pasos en R,https://www.coursera.org/projects/bases-r,,No rating
Bases y primeros pasos en latex,https://www.coursera.org/projects/bases-latex,,4.7
Beginnen Sie mit dem Facebook Business Manager,https://www.coursera.org/projects/beginnen-sie-mit-dem-facebook-business-manager,,No rating
Bekommen Sie mehr followers durch den posten von Tweet,https://www.coursera.org/projects/bekommen-sie-mehr-followers-durch-den-posten-von-tweet,,No rating
Benutze Facebook für Marketing von Kleinunternehmen,https://www.coursera.org/projects/benutze-facebook-marketing-kleinunternehmen,,No rating
Bewirb dein Kleinunternehmen auf Facebook mit Canva,https://www.coursera.org/projects/bewirb-kleinunternehmen-facebook-canva,,No rating
Build a Business Architecture using AWS Organization,https://www.coursera.org/projects/build-a-business-architecture-using-aws-organization,,4.5
Build a Hometown Homepage with HTML and CSS,https://www.coursera.org/projects/build-a-hometown-homepage-with-html-and-css,,No rating
Build a computer vision app with Azure Cognitive Services,https://www.coursera.org/projects/build-a-computer-vision-app-with-azure-cognitive-services,,4.5
Business Model Canvas y Business Case en Miro,https://www.coursera.org/projects/business-model-canvas-y-business-case-en-miro,,No rating
Business Model Canvas,https://www.coursera.org/projects/business-model-canva,,4.5
CFD Simulation um einen Spoiler,https://www.coursera.org/projects/cfd-simulation-um-einen-spoiler,,No rating
COVID19 Data Analysis Using Python,https://www.coursera.org/projects/covid19-data-analysis-using-python,,4.5
Canva pour les débutants,https://www.coursera.org/projects/canva-pour-debutants,,4.7
Canvas de propuesta de valor con Miro,https://www.coursera.org/projects/canvas-de-propuesta-de-valor--con-miro,,No rating
ChatGPT for Beginners: Using AI for Market Research,https://www.coursera.org/projects/chatgpt-for-beginners-market-research-ai,,4.5
Choisissez une publication basée sur l'engagement avec Facebook pour les entreprises,https://www.coursera.org/projects/choisissez-une-publication-basee-sur-l-engagement-avec-facebook-pour-entreprises,,No rating
Choisir la Meilleure Méthode pour Illustrer les Données,https://www.coursera.org/projects/choisir-la-meilleure-methode-pour-illustrer-les-donnees,,No rating
Choosing a Facebook Post Type Based on Desired Engagement,https://www.coursera.org/projects/choosing-facebook-post-type-desired-engagement,,No rating
Cible démographie spécifique de l’utilisateur dans campagne de suivi,https://www.coursera.org/projects/cible-demographie-specifique-de-l-utilisateur-dans-campagne-de-suivi,,No rating
Clase interactivas y dinámicas en Classroom,https://www.coursera.org/projects/clase-interactivas-dinamicas-classroom,,4.9
Clean Up Unused and Orphaned Persistent Disks,https://www.coursera.org/projects/googlecloud-clean-up-unused-and-orphaned-persistent-disks-806hr,,No rating
Cloud DNS: Traffic Steering using Geolocation Policy,https://www.coursera.org/projects/googlecloud-cloud-dns-traffic-steering-using-geolocation-policy-447v0,,No rating
Cloud Endpoints: Qwik Start,https://www.coursera.org/projects/googlecloud-cloud-endpoints-qwik-start-tetvn,,No rating
Cloud Functions: Qwik Start - Command Line,https://www.coursera.org/projects/googlecloud-cloud-functions-qwik-start-command-line-8wxkh,,No rating
Cloud SQL for MySQL: Qwik Start,https://www.coursera.org/projects/googlecloud-cloud-sql-for-mysql-qwik-start-etqlf,,4.4
Cloud SQL for PostgreSQL: Qwik Start,https://www.coursera.org/projects/googlecloud-cloud-sql-for-postgresql-qwik-start-bhnad,,No rating
Cloud computing en AWS: Ejecuta un sitio web en EC2,https://www.coursera.org/projects/cloud-computing-en-aws-ejecuta-un-sitio-web-ec2,,No rating
Collecter des fonds pour lutter contre l'injustice via les outils de collecte de fonds Facebook,https://www.coursera.org/projects/collecter-des-fonds-pour-lutter-contre-linjustice-via-lesoutils-decollecte-de-fb,,No rating
Commencer avec la messagerie de Facebook pour une entreprise,https://www.coursera.org/projects/commencer-avec-la-messagerie-de-facebook-pour-les-entreprises,,No rating
Comercialice su nuevo negocio con Canva,https://www.coursera.org/projects/comercialice-nuevo-negocio-canva,,No rating
Commencer avec Facebook Analytics,https://www.coursera.org/projects/commencer-avec-facebook-analytics,,No rating
Comment Configurer une Campagne D'adeptes,https://www.coursera.org/projects/comment-configurer-une-campagne-d-adeptes,,No rating
Comment avoir plus d'abonné sur Twitter en twettant,https://www.coursera.org/projects/comment-avoir-plus-d-abonnes-sur-twitter-en-twettant,,No rating
Comment analyser l'engagement des Tweets avec Twitter Analytics,https://www.coursera.org/projects/comment-analyser-l-engagement-des-tweets-avec-twitter-analytics,,No rating
Comment augmenter vos abonnés twitter,https://www.coursera.org/projects/comment-augmenter-vos-abonnes-twitter,,No rating
Comment configurer un pixel Facebook,https://www.coursera.org/projects/comment-configurer-un-pixel-facebook,,No rating
Comment créer du contenu sur Pinterest,https://www.coursera.org/projects/comment-creer-contenu-pinterest,,No rating
Comment créer et rejoindre des équipes sur Canva,https://www.coursera.org/projects/comment-creer-rejoindre-equipes-canva,,No rating
Comment configurer Facebook Analytics,https://www.coursera.org/projects/comment-configurer-facebook-analytics,,No rating
Comment créer des stories Facebook et Instagram avec Canva,https://www.coursera.org/projects/comment-creer-stories-facebook-instagram-canva,,No rating
Comment créer un entonnoir avec Facebook Analytics,https://www.coursera.org/projects/comment-creer-un-entonnoir-avec-facebook-analytics,,No rating
Comment créer un compte Instagram professionnel,https://www.coursera.org/projects/comment-creer-un-compte-instagram-professionnel,,No rating
Comment commencer avec Pinterest Shopping,https://www.coursera.org/projects/comment-commencer-avec-pinterest-shopping,,No rating
Comment faire de la pubicité sur Pinterest,https://www.coursera.org/projects/comment-faire-de-la-pubicite-sur-pinterest,,No rating
Comment faire un Live sur Facebook,https://www.coursera.org/projects/comment-faire-live-facebook,,No rating
Comment importer vos contacts sur MailChimp,https://www.coursera.org/projects/comment-importer-contacts-mailchimp,,No rating
Comment naviguer dans le gestionnaire de publicités de Twitter et afficher les résultats,https://www.coursera.org/projects/naviguer-dans-le-gestionnaire-de-publicites-de-twitter-et-afficher-les-resultats,,No rating
Comment intégrer des applications dans le tableau de bord Hootsuite,https://www.coursera.org/projects/comment-integrer-des-applications-dans-le-tableau-de-bord-hootsuite,,No rating
Comment intégrer des applications sur Canva,https://www.coursera.org/projects/comment-integrer-des-applications-sur-canva,,No rating
Comment utiliser l'automatisation pour envoyer des e-mails avec MailChimp,https://www.coursera.org/projects/comment-utiliser-l-automatisation-pour-envoyer-des-e-mails-avec-mailchimp,,No rating
Comment utiliser le marketing d'influence pour developper votre entreprise Instagram,https://www.coursera.org/projects/comment-utiliser-le-marketing-d-influence-pour-developper-votre-entreprise-insta,,No rating
Comment vendre ses produits et services avec Canva,https://www.coursera.org/projects/comment-vendre-produits-services-canva,,No rating
Commercialise ton entreprise avec les marchandises de Canva,https://www.coursera.org/projects/commercialise-entreprise-marchandises-canva,,No rating
Comprendre l'Utilisateur Moyen de Facebook,https://www.coursera.org/projects/comprendre-l-utilisateur-moyen-de-facebook,,No rating
"Concepts in Python: Loops, Functions and Returns",https://www.coursera.org/projects/python-loops-functions-returns,,4.7
Configuración de APIs en Python: Crea un API REST,https://www.coursera.org/projects/configuracin-de-apis-en-python-crea-un-api-rest,,No rating
Configura APIs en Node.js: Crea aplicaciones backend,https://www.coursera.org/projects/configura-apis-en-nodejs-crea-aplicaciones-backend,,No rating
Configurer des cartes-cadeaux numériques pour votre entreprise sur Facebook,https://www.coursera.org/projects/configurer-des-cartes-cadeaux-numeriques-pour-votre-entreprise-sur-facebook,,No rating
Configurer et modifier le paiement dans Facebook Ad Manager,https://www.coursera.org/projects/configurer-et-modifier-le-paiement-dans-facebook-ad-manager,,No rating
Configuring IAM Permissions with gcloud,https://www.coursera.org/projects/googlecloud-configuring-iam-permissions-with-gcloud-d5ve0,,No rating
Connect to Cloud SQL from an Application in Kubernetes Engine,https://www.coursera.org/projects/googlecloud-connect-to-cloud-sql-from-an-application-in-kubernetes-engine-m7lho,,No rating
Connectez vos outils avec Slack,https://www.coursera.org/projects/connectez-vos-outils-avec-slack,,No rating
Connectez vos outils à Slack,https://www.coursera.org/projects/connectez-vos-outils-slack,,No rating
"Conociendo Canva, tu nueva herramienta de diseño favorita",https://www.coursera.org/projects/conociendo-canva,,4.6
Construye un sitio web con Wordpress,https://www.coursera.org/projects/construye-sitio-web-wordpress,,4.4
Construya estrategicamente su red en LinkedIn,https://www.coursera.org/projects/contruya-estrategicamente-red-linkedin,,4.5
Construire votre audience sur Facebook Audience Insights,https://www.coursera.org/projects/construire-votre-audience-sur-facebook-audience-insights,,No rating
Construye una campaña de e-mail marketing con Mailchimp,https://www.coursera.org/projects/construye-campana-email-marketing-mailchimp,,No rating
Crea Diseños de Marketing en Redes Sociales con Canva,https://www.coursera.org/projects/crea-disenos-de-marketing-en-redes-sociales-con-canva,,No rating
Crea Anuncios para las Redes Sociales con Canva,https://www.coursera.org/projects/crea-anuncios-redes-sociales-canva,,No rating
Crea Gráficos para las Redes Sociales con Canva,https://www.coursera.org/projects/crea-graficos-redes-sociales-canva,,4.4
Crea Posts Animados para Redes Sociales con Canva,https://www.coursera.org/projects/crea-posts-animados-redes-sociales-canva,,No rating
Crea Presentaciones Informativas con Powerpoint,https://www.coursera.org/projects/crea-presentaciones-informativas-con-powerpoint,,No rating
Crea Una Encuesta con Microsoft Forms,https://www.coursera.org/projects/crea-una-encuesta-con-microsoft-forms,,4.5
Crea Videos para Redes Sociales con Canva,https://www.coursera.org/projects/crea-videos-redes-sociales-canva,,4.5
Crea diseños de marca para tu pequeña empresa con Canva,https://www.coursera.org/projects/crea-disenos-marca-pequena-empresa-canva,,No rating
Crea Videos para Redes Sociales con PicsArt,https://www.coursera.org/projects/crea-videos-redes-sociales-picsart,,4.0
Crea diseños y prototipos de alta fidelidad en Figma,https://www.coursera.org/projects/crea-diseos-y-prototipos-de-alta-fidelidad-en-figma,,4.5
Crea equipos y trabaja en grupos con Canva,https://www.coursera.org/projects/crea-equipos-trabaja-grupos-canva,,4.8
Crea gráficos para Facebook en Visme,https://www.coursera.org/projects/crea-graficos-facebook-visme,,No rating
Crea imprimibles digitales de enseñanza con Canva ,https://www.coursera.org/projects/crea-imprimibles-digitales-ensenanza-canva,,4.5
Crea juegos e historias animadas con Scratch,https://www.coursera.org/projects/juego-scratch,,4.2
Crea piezas para redes sociales usando Canva,https://www.coursera.org/projects/crea-piezas-redes-sociales-usando-canva,,4.8
Crea tu artículo científico con latex,https://www.coursera.org/projects/articulo-cientifico-latex,,4.5
Crea tu Curriculum con canva,https://www.coursera.org/projects/curriculum-canva,,4.5
Crea tu curriculum profesional con latex,https://www.coursera.org/projects/curriculum-profesional-latex,,4.2
Crea tu primer embudo de conversión y CRM con HubSpot,https://www.coursera.org/projects/crea-tu-primer-embudo-de-conversion-y-crm-con-hubspot,,No rating
Crea tu primera página web en HTML,https://www.coursera.org/projects/crea-primera-pagina-web-html,,4.8
Crea tu primera campaña con Facebook Ads Manager,https://www.coursera.org/projects/crea-tu-primera-campana-con-facebook-ads-manager,,4.7
Crea tu tarjeta de presentación con canva,https://www.coursera.org/projects/tarjeta-presentacion-canva,,No rating
Crea tus publicaciones para RRSS con Canva,https://www.coursera.org/projects/publicacion-rrss-canva,,4.6
Crea un Mood Board con Canva,https://www.coursera.org/projects/crea-mood-board-canva,,No rating
Crea un Storyboard en Canva,https://www.coursera.org/projects/crea-storyboard-en-canva,,No rating
Crea un mapa de proceso con Canva,https://www.coursera.org/projects/crea-mapa-proceso-canva,,No rating
Crea un mapa mental interactivo usando Canva,https://www.coursera.org/projects/crea-mapa-mental-interactivo-canva,,4.7
Crea un Storyboard con Canva,https://www.coursera.org/projects/crea-storyboard-canva,,4.6
Crea un organigrama con Canva,https://www.coursera.org/projects/crea-organigrama-canva,,4.5
Crea un perfil para un trabajo soñado con Indeed,https://www.coursera.org/projects/crea-perfil-trabajo-sonado-indeed,,No rating
Crea una Declaración de Misión y Visión con Canva,https://www.coursera.org/projects/crea-declaracion-mision-vision-canva,,No rating
Crea un perfil de negocios en Twitter,https://www.coursera.org/projects/crea-un-perfil-de-negocios-en-twitter,,No rating
Crea una cuenta de negocio en Instagram,https://www.coursera.org/projects/crea-cuenta-negocio-instagram,,4.6
Crea una presentacion con Microsoft SWAY,https://www.coursera.org/projects/crea-una-presentacion-con-microsoft-sway,,No rating
Crea una aplicación web con Vue.js,https://www.coursera.org/projects/crea-una-aplicacion-web-con-vue-js,,4.7
Crea una tarjeta de negocios en Canva,https://www.coursera.org/projects/crea-una-tarjeta-de-negocios-en-canva,,No rating
Crea una propuesta de negocio con Visme,https://www.coursera.org/projects/crea-una-propuesta-de-negocio-con-visme,,No rating
Crea una prueba rapida usando Microsoft Forms,https://www.coursera.org/projects/crea-una-prueba-rapida-usando-microsoft-forms,,No rating
Creación de diagramas de clases UML en GenMyModel,https://www.coursera.org/projects/uml-genmymodel,,No rating
Crea y diseña productos digitales en Canva,https://www.coursera.org/projects/crea-disena-productos-digitales-canva,,4.5
Crea wireframes digitales con Figma,https://www.coursera.org/projects/crea-wireframes-digitales-baja-fidelidad-con-figma,,4.7
"Crea, crece y administra grupos de Facebook",https://www.coursera.org/projects/crea-crece-y-administra-grupos-facebook,,No rating
Creando tu primera app con ReactJS,https://www.coursera.org/projects/creando-primera-app-reactjs,,4.3
Crear Presentaciones Interactivas con Microsoft PowerPoint,https://www.coursera.org/projects/crear-presentaciones-interactivas-con-powerpoint,,No rating
Crear Gráficos y Paneles con Microsoft Excel,https://www.coursera.org/projects/crear-graficos-paneles-microsoft-excel,,4.8
Crear boletines para empresas con Canva,https://www.coursera.org/projects/crear-boletines-para-empresas-canva,,No rating
Crear tablas de bases de datos relacionales con SQLiteStudio,https://www.coursera.org/projects/crear-tablas-de-bases-de-datos-relacionales-con-sqlitestudio,,No rating
Crear una hoja para Gestionar Proyectos en Microsoft Excel,https://www.coursera.org/projects/crear-hoja-gestionar-proyectos-microsoft-excel,,4.7
Crear un Business Model Canvas con Miro,https://www.coursera.org/projects/crear-un-business-model-canvas-con-miro,,No rating
Crear un Informe Financiero con Microsoft Excel,https://www.coursera.org/projects/crear-informe-financiero-microsoft-excel,,4.7
Crear una presentación empresarial con Microsoft Powerpoint,https://www.coursera.org/projects/crear-presentacion-empresarial-microsoft-powerpoint,,4.7
Crear un CV y una Carta de Presentación en Word,https://www.coursera.org/projects/crear-cv-carta-presentacion-word,,3.7
Crear videos de sitios web con Canva,https://www.coursera.org/projects/crear-videos-sitios-web-canva,,No rating
Create Engaging Presentations with Easelly,https://www.coursera.org/projects/presentation-easelly,,4.7
Create Student Books with Book Creator,https://www.coursera.org/projects/student-books,,4.6
Create a Brand Awareness Survey in Qualtrics,https://www.coursera.org/projects/brand-awareness-survey-qualtrics,,5.0
Create a Customer Satisfaction Survey in Qualtrics,https://www.coursera.org/projects/create-customer-satisfaction-survey-qualtrics,,4.6
Create a Custom Network and Apply Firewall Rules,https://www.coursera.org/projects/googlecloud-create-a-custom-network-and-apply-firewall-rules-ubo1z,,No rating
Create a Facebook Business Page,https://www.coursera.org/projects/how-to-create-facebook-business-page,,4.4
Create a Process Map using a Canva Template,https://www.coursera.org/projects/create-process-map-using-canva,,4.5
Create a Target Market Presentation using Canva,https://www.coursera.org/projects/create-target-market-presentation,,4.5
Create a Virtual Classroom using Google Slides,https://www.coursera.org/projects/virtual-classroom-google-slides,,4.8
Create an Advertising Concept Testing Study in Qualtrics,https://www.coursera.org/projects/create-advertising-concept-testing-study-qualtrics,,No rating
Create an E-book Cover Using Canva,https://www.coursera.org/projects/create-an-ebook-cover-using-canva,,4.4
Create an Email Autoresponder Using Mailchimp,https://www.coursera.org/projects/create-email-autoresponder-mailchimp,,4.6
Creating Derived Tables Using LookML,https://www.coursera.org/projects/googlecloud-creating-derived-tables-using-lookml-iqssn,,No rating
Creating Engaging Presentations with Mentimeter,https://www.coursera.org/projects/engaging-presentations-with-mentimeter,,4.6
Creating Interactive Learning Videos with Edpuzzle,https://www.coursera.org/projects/creating-interactive-learning-videos-edpuzzle,,4.7
Creating a Multi Page App using HTML & CSS,https://www.coursera.org/projects/creating-a-multi-page-app-using-html-and-css,,4.2
Creá tu primer UI Kit en Figma,https://www.coursera.org/projects/crea-tu-primer-ui-kit,,No rating
Cree Increíbles Diseños de Mercadeo usando Canva,https://www.coursera.org/projects/cree-increibles-disenos-de-mercadeo-usando-canva,,4.5
Crie artes para redes sociais usando Canva,https://www.coursera.org/projects/crie-artes-para-redes-sociais-usando-canva,,4.6
Crie designs e protótipos de alta fidelidade com Figma,https://www.coursera.org/projects/crie-designs-e-prottipos-de-alta-fidelidade-com-figma,,4.8
Crie seu primeiro funil de conversão e CRM com Hubspot,https://www.coursera.org/projects/crie-seu-primeiro-funil-de-converso-e-crm-com-hubspot,,No rating
Crie sua primeira campanha com Facebook Ads Manager,https://www.coursera.org/projects/crie-sua-primeira-campanha-com-facebook-ads-manager,,No rating
Crie wireframes digitais de baixa fidelidade com Figma,https://www.coursera.org/projects/crie-wireframes-digitais-de-baixa-fidelidade-com-figma,,No rating
Création de chaînes en Python,https://www.coursera.org/projects/creation-de-chaines-en-python,,No rating
Créer des Newsletters professionnelles avec Canva,https://www.coursera.org/projects/creer-newsletters-professionnelles-canva,,No rating
Créer des diagrammes de Buyer Persona avec Creately,https://www.coursera.org/projects/creer-diagrammes-buyer-persona-creately,,No rating
Créer des maquettes professionnelles avec Moqups,https://www.coursera.org/projects/creer-maquettes-professionnelles-moqups,,No rating
Créer des diagrammes stratégiques d'entreprise avec Creately,https://www.coursera.org/projects/creer-diagrammes-strategiques-entreprise-creately,,No rating
Créer des infographies attrayantes avec Creately,https://www.coursera.org/projects/creer-infographies-attrayantes-creately,,No rating
Créer des visuels Instagram pour entreprises avec PicMonkey,https://www.coursera.org/projects/creer-visuels-instagram-entreprises-picmonkey,,No rating
Créer des groupes sur Facebook,https://www.coursera.org/projects/creer-groupes-facebook,,No rating
Créer des visuels Facebook avec PicMonkey pour entreprises,https://www.coursera.org/projects/creer-visuels-facebook-picmonkey-entreprises,,No rating
Créer des infographies avec Prezi ,https://www.coursera.org/projects/creer-des-infographies-avec-prezi,,No rating
Créer du contenu de sensibilisation pour Twitter avec Canva,https://www.coursera.org/projects/creer-contenu-sensibilisation-twitter-canva,,No rating
Créer du contenu de sensibilisation pour Instagram sur Canva,https://www.coursera.org/projects/creer-contenu-sensibilisation-instagram-canva,,No rating
Créer des visuels Twitter  pour entreprises avec PicMonkey,https://www.coursera.org/projects/creer-visuels-twitter-entreprises-picmonkey,,No rating
Créer des visuels pour une boutique Facebook avec Canva,https://www.coursera.org/projects/creer-visuels-boutique-facebook-canva,,No rating
Créer du contenu de développement durable avec Canva,https://www.coursera.org/projects/creer-contenu-developpement-durable-canva,,No rating
Créer du contenu pour Youtube avec Canva,https://www.coursera.org/projects/creer-contenu-youtube-canva,,4.4
Créer du contenu marketing pour LinkedIn avec Visme,https://www.coursera.org/projects/creer-contenu-marketing-linkedin-avec-visme,,No rating
Créer du contenu de sensibilisation à une cause sur Canva,https://www.coursera.org/projects/creer-contenu-sensibilisation-cause-canva,,No rating
Créer du contenu pour les réseaux sociaux avec PicMonkey,https://www.coursera.org/projects/creer-contenu-reseaux-sociaux-picmonkey,,No rating
Créer un Business Model Canva avec Mural,https://www.coursera.org/projects/creer-un-business-model-canva-avec-mural,,No rating
Créer un Business Model Canvas avec Miro,https://www.coursera.org/projects/creer-business-model-canvas-miro,,No rating
Créer un calendrier de contenu pour tweeter en continuité,https://www.coursera.org/projects/creer-un-calendrier-de-contenu-pour-tweeter-en-continuite,,No rating
Créer un Moodboard pour votre marque avec Canva,https://www.coursera.org/projects/creer-moodboard-marque-avec-canva,,No rating
Créer du contenu pour les réseaux sociaux avec Piktochart,https://www.coursera.org/projects/creer-contenu-reseaux-sociaux-piktochart,,No rating
Créer un diagramme de Brainstorming avec Creately,https://www.coursera.org/projects/creer-diagramme-brainstorming-creately,,No rating
Créer un diagramme d’affinité avec Creately,https://www.coursera.org/projects/creer-diagramme-affinite-creately,,No rating
Créer un compte de gestionnaire d'entreprise Facebook,https://www.coursera.org/projects/creer-un-compte-de-gestionnaire-d-entreprise-facebook,,No rating
Créer un pitch deck pour votre projet avec Canva,https://www.coursera.org/projects/creer-pitch-deck-pour-votre-projet-avec-canva,,No rating
Créer un logo professionnel avec Canva,https://www.coursera.org/projects/creer-logo-professionnel-canva,,No rating
Créer un profil d'entreprise sur Twitter,https://www.coursera.org/projects/crer-un-profil-dentreprise-sur-twitter,,No rating
Créer un tableau de bord d'analyse marketing à l'aide de Hubspot,https://www.coursera.org/projects/creer-un-tableau-de-bord-d-analyse-marketing-a-l-aide-de-hubspot,,No rating
Créer un site Web gratuit avec WordPress,https://www.coursera.org/projects/creer-site-web-gratuit-wordpress,,4.3
Créer une Fonction Personnalisée en JS et Google App Script,https://www.coursera.org/projects/envoyer-des-email-personnalis-avec-google,,No rating
Créer une carte de visite professionnelle avec Canva,https://www.coursera.org/projects/creer-carte-visite-professionnelle-canva,,No rating
Créer une enquête de satisfaction client avec Typeform,https://www.coursera.org/projects/creer-enquete-satisfaction-client-typeform,,No rating
Créer une enquête de satisfaction clients,https://www.coursera.org/projects/creer-enquete-satisfaction-clients,,No rating
Créer une page de collecte de fonds sur KissKissBankBank ,https://www.coursera.org/projects/creer-page-collecte-fonds-kisskissbankbank,,No rating
Créer une présentation de marché cible avec Canva,https://www.coursera.org/projects/creer-presentation-marche-cible-canva,,No rating
